victim_set,victim_line_count,probe_set,count,sum_probe_time
0,0,0,1763,105854
0,0,1,1763,105879
0,0,2,1763,86994
0,0,3,1763,104255
0,0,4,1763,53468
0,0,5,1763,53486
0,0,6,1763,53324
0,0,7,1763,85021
0,0,8,1763,95807
0,0,9,1763,69634
0,0,10,1763,59725
0,0,11,1763,53514
0,0,12,1763,53366
0,0,13,1763,53337
0,0,14,1763,53487
0,0,15,1763,53378
0,0,16,1763,52495
0,0,17,1763,54127
0,0,18,1763,105523
0,0,19,1763,114104
0,0,20,1763,105792
0,0,21,1763,106007
0,0,22,1763,105891
0,0,23,1763,106478
0,0,24,1763,106367
0,0,25,1763,105708
0,0,26,1763,106156
0,0,27,1763,53411
0,0,28,1763,57929
0,0,29,1763,105886
0,0,30,1763,101105
0,0,31,1763,53555
0,0,32,1763,53452
0,0,33,1763,53589
0,0,34,1763,53414
0,0,35,1763,53631
0,0,36,1763,53455
0,0,37,1763,53440
0,0,38,1763,53611
0,0,39,1763,53489
0,0,40,1763,53438
0,0,41,1763,53473
0,0,42,1763,53433
0,0,43,1763,53436
0,0,44,1763,53437
0,0,45,1763,53584
0,0,46,1763,53526
0,0,47,1763,53471
0,0,48,1763,53312
0,0,49,1763,53419
0,0,50,1763,53461
0,0,51,1763,53465
0,0,52,1763,53584
0,0,53,1763,53458
0,0,54,1763,53320
0,0,55,1763,53317
0,0,56,1763,53570
0,0,57,1763,53460
0,0,58,1763,53440
0,0,59,1763,53421
0,0,60,1763,53585
0,0,61,1763,53491
0,0,62,1763,53490
0,0,63,1763,105572
0,1,0,1813,109872
0,1,1,1813,108839
0,1,2,1813,87435
0,1,3,1813,107142
0,1,4,1813,54879
0,1,5,1813,54869
0,1,6,1813,54891
0,1,7,1813,87837
0,1,8,1813,98630
0,1,9,1813,71023
0,1,10,1813,62696
0,1,11,1813,55009
0,1,12,1813,55069
0,1,13,1813,54919
0,1,14,1813,55009
0,1,15,1813,54989
0,1,16,1813,53983
0,1,17,1813,54952
0,1,18,1813,108935
0,1,19,1813,117655
0,1,20,1813,108801
0,1,21,1813,109063
0,1,22,1813,96843
0,1,23,1813,54916
0,1,24,1813,54829
0,1,25,1813,54868
0,1,26,1813,55015
0,1,27,1813,54858
0,1,28,1813,109126
0,1,29,1813,119186
0,1,30,1813,108898
0,1,31,1813,109641
0,1,32,1813,109753
0,1,33,1813,109291
0,1,34,1813,55104
0,1,35,1813,54848
0,1,36,1813,108948
0,1,37,1813,55002
0,1,38,1813,59563
0,1,39,1813,55075
0,1,40,1813,54999
0,1,41,1813,54837
0,1,42,1813,54930
0,1,43,1813,54765
0,1,44,1813,55086
0,1,45,1813,54808
0,1,46,1813,54908
0,1,47,1813,54853
0,1,48,1813,55057
0,1,49,1813,54850
