victim_set,victim_line_count,probe_set,count,sum_probe_time
0,0,0,3502,209062
0,0,1,3501,209808
0,0,2,3501,209914
0,0,3,3500,209056
0,0,4,3501,209320
0,0,5,3501,212750
0,0,6,3498,210711
0,0,7,3499,211882
0,0,8,3498,213085
0,0,9,3498,214274
0,0,10,3497,212846
0,0,11,3498,214381
0,0,12,3498,214922
0,0,13,3500,216841
0,0,14,3502,211543
0,0,15,3500,212745
0,0,16,3498,213026
0,0,17,3499,212852
0,0,18,3500,212754
0,0,19,3501,211375
0,0,20,3499,210723
0,0,21,3502,213797
0,0,22,3502,210272
0,0,23,3501,211177
0,0,24,3498,210435
0,0,25,3502,214717
0,0,26,3501,213310
0,0,27,3501,212204
0,0,28,3501,211041
0,0,29,3501,213512
0,0,30,3500,209705
0,0,31,3501,212993
0,0,32,3499,212517
0,0,33,3501,210506
0,0,34,3497,213757
0,0,35,3500,210837
0,0,36,3500,210636
0,0,37,3499,214495
0,0,38,3498,211101
0,0,39,3500,213024
0,0,40,3501,215059
0,0,41,3500,209360
0,0,42,3502,213803
0,0,43,3500,211544
0,0,44,3500,210693
0,0,45,3501,212039
0,0,46,3498,211995
0,0,47,3501,211659
0,0,48,3502,210308
0,0,49,3498,212900
0,0,50,3499,211031
0,0,51,3502,210925
0,0,52,3501,213604
0,0,53,3499,213529
0,0,54,3501,213308
0,0,55,3499,213190
0,0,56,3502,209414
0,0,57,3501,211004
0,0,58,3499,211255
0,0,59,3502,210995
0,0,60,3499,209687
0,0,61,3500,212352
0,0,62,3501,210151
0,0,63,3501,209423
0,1,0,3540,210727
0,1,1,3540,213103
0,1,2,3540,211049
0,1,3,3540,211680
0,1,4,3538,212439
0,1,5,3539,213172
0,1,6,3540,212056
0,1,7,3540,211834
0,1,8,3538,213663
0,1,9,3536,218242
0,1,10,3540,214741
0,1,11,3535,214690
0,1,12,3537,214914
0,1,13,3540,214745
0,1,14,3540,214287
0,1,15,3539,216348
0,1,16,3538,216137
0,1,17,3539,216622
0,1,18,3536,220703
0,1,19,3540,212730
0,1,20,3539,213477
0,1,21,3540,216233
0,1,22,3540,212538
0,1,23,3537,213196
0,1,24,3539,216981
0,1,25,3538,218111
0,1,26,3539,215263
0,1,27,3540,215336
0,1,28,3537,212686
0,1,29,3537,216289
0,1,30,3540,212427
0,1,31,3538,217108
0,1,32,3538,217197
0,1,33,3540,216582
0,1,34,3539,216078
0,1,35,3539,216509
0,1,36,3540,215780
0,1,37,3537,217582
0,1,38,3539,213350
0,1,39,3540,216414
0,1,40,3537,216897
0,1,41,3539,214154
0,1,42,3538,216172
0,1,43,3539,215519
0,1,44,3539,214006
0,1,45,3539,214880
0,1,46,3539,215534
0,1,47,3540,213178
0,1,48,3538,213758
0,1,49,3540,215201
0,1,50,3539,212414
0,1,51,3538,213060
0,1,52,3540,214381
0,1,53,3538,215265
0,1,54,3540,213752
0,1,55,3538,215202
0,1,56,3538,211867
0,1,57,3539,213634
0,1,58,3539,212901
0,1,59,3540,212538
0,1,60,3539,211774
0,1,61,3539,213857
0,1,62,3540,213535
0,1,63,3539,211966
0,2,0,3527,209330
0,2,1,3528,212931
0,2,2,3528,210104
0,2,3,3528,210541
0,2,4,3527,211943
0,2,5,3526,211989
0,2,6,3527,211219
0,2,7,3528,210982
0,2,8,3528,213585
0,2,9,3526,214559
0,2,10,3525,214271
0,2,11,3527,212877
0,2,12,3525,213013
0,2,13,3527,212481
0,2,14,3528,211453
0,2,15,3527,212584
0,2,16,3526,212436
0,2,17,3527,213009
0,2,18,3526,213720
0,2,19,3526,211368
0,2,20,3526,213120
0,2,21,3527,211653
0,2,22,3527,212245
0,2,23,3528,213607
0,2,24,3525,217628
0,2,25,3524,218285
0,2,26,3528,215563
0,2,27,3527,214934
0,2,28,3527,213731
0,2,29,3525,215968
0,2,30,3528,213562
0,2,31,3527,214521
0,2,32,3525,216647
0,2,33,3528,214604
0,2,34,3526,220731
0,2,35,3522,216598
0,2,36,3527,214400
0,2,37,3527,218163
0,2,38,3527,214159
0,2,39,3524,214279
0,2,40,3525,216732
0,2,41,3524,213572
0,2,42,3528,213494
0,2,43,3526,213070
0,2,44,3525,214610
0,2,45,3525,215254
0,2,46,3527,214735
0,2,47,3526,212583
0,2,48,3527,212659
0,2,49,3526,216905
0,2,50,3526,212416
0,2,51,3527,215822
0,2,52,3527,215292
0,2,53,3526,215247
0,2,54,3528,212544
0,2,55,3527,214318
0,2,56,3527,211207
0,2,57,3526,212478
0,2,58,3527,211246
0,2,59,3527,212104
0,2,60,3526,211313
0,2,61,3528,214165
0,2,62,3526,211109
0,2,63,3527,211806
0,3,0,3483,207261
0,3,1,3483,210609
0,3,2,3484,207578
0,3,3,3484,208066
0,3,4,3481,208336
0,3,5,3483,209999
0,3,6,3482,209005
0,3,7,3484,209884
0,3,8,3482,211152
0,3,9,3483,209817
0,3,10,3484,209595
0,3,11,3481,211349
0,3,12,3481,210481
0,3,13,3481,209438
0,3,14,3484,208819
0,3,15,3480,210420
0,3,16,3481,209896
0,3,17,3480,210379
0,3,18,3480,211380
0,3,19,3483,208885
0,3,20,3482,210414
0,3,21,3484,209060
0,3,22,3483,208294
0,3,23,3484,209763
0,3,24,3482,210434
0,3,25,3477,210334
0,3,26,3484,209160
0,3,27,3484,208137
0,3,28,3482,208253
0,3,29,3483,210266
0,3,30,3483,209303
0,3,31,3482,214011
0,3,32,3482,214963
0,3,33,3484,213247
0,3,34,3483,219434
0,3,35,3479,214912
0,3,36,3482,213947
0,3,37,3479,214673
0,3,38,3484,209802
0,3,39,3483,215337
0,3,40,3480,212795
0,3,41,3483,210679
0,3,42,3480,210563
0,3,43,3483,215831
0,3,44,3483,213672
0,3,45,3479,211126
0,3,46,3483,211725
0,3,47,3484,212657
0,3,48,3484,211996
0,3,49,3480,212594
0,3,50,3484,213160
0,3,51,3482,209866
0,3,52,3482,210629
0,3,53,3480,212665
0,3,54,3483,210721
0,3,55,3484,210398
0,3,56,3483,210599
0,3,57,3482,211056
0,3,58,3482,209754
0,3,59,3484,211884
0,3,60,3484,209286
0,3,61,3482,210976
0,3,62,3482,208509
0,3,63,3484,208169
0,4,0,3525,209658
0,4,1,3524,213846
0,4,2,3523,210301
0,4,3,3525,211292
0,4,4,3524,210124
0,4,5,3525,212575
0,4,6,3523,211270
0,4,7,3524,210312
0,4,8,3524,212274
0,4,9,3525,213308
0,4,10,3524,211561
0,4,11,3523,213359
0,4,12,3525,212828
0,4,13,3525,213998
0,4,14,3525,211461
0,4,15,3524,212356
0,4,16,3520,212523
0,4,17,3523,213032
0,4,18,3524,213011
0,4,19,3524,211709
0,4,20,3524,213307
0,4,21,3525,211481
0,4,22,3522,210339
0,4,23,3525,211649
0,4,24,3524,212074
0,4,25,3524,213478
