victim_set,victim_line,probe_set,count,sum_probe_time
0,0,0,1309,269366
0,0,1,1309,272140
0,0,2,1309,276112
0,0,3,1309,271464
0,0,4,1309,271070
0,0,5,1309,270586
0,0,6,1309,270878
0,0,7,1308,269082
0,0,8,1308,270466
0,0,9,1309,179680
0,0,10,1308,177970
0,0,11,1309,169562
0,0,12,1309,169562
0,0,13,1309,169226
0,0,14,1309,172544
0,0,15,1309,169264
0,0,16,1309,269634
0,0,17,1309,169540
0,0,18,1309,169878
0,0,19,1309,169068
0,0,20,1308,169232
0,0,21,1309,169354
0,0,22,1309,170298
0,0,23,1309,169806
0,0,24,1309,169396
0,0,25,1309,169734
0,0,26,1308,274756
0,0,27,1309,270196
0,0,28,1309,169126
0,0,29,1309,270828
0,0,30,1309,169574
0,0,31,1309,170148
0,0,32,1309,169496
0,0,33,1309,169640
0,0,34,1309,170236
0,0,35,1309,170140
0,0,36,1309,169338
0,0,37,1308,169364
0,0,38,1309,169550
0,0,39,1309,169440
0,0,40,1309,169344
0,0,41,1309,169894
0,0,42,1309,168848
0,0,43,1309,216334
0,0,44,1309,169190
0,0,45,1309,169706
0,0,46,1309,270008
0,0,47,1309,169230
0,0,48,1309,169352
0,0,49,1309,170124
0,0,50,1309,222506
0,0,51,1309,169524
0,0,52,1309,172522
0,0,53,1309,169346
0,0,54,1308,173508
0,0,55,1309,169924
0,0,56,1309,169216
0,0,57,1309,169574
0,0,58,1309,169756
0,0,59,1309,169376
0,0,60,1308,169226
0,0,61,1309,169288
0,0,62,1309,292456
0,0,63,1308,275028
0,1,0,1220,250360
0,1,1,1220,252950
0,1,2,1220,251440
0,1,3,1220,220598
0,1,4,1220,220636
0,1,5,1220,217220
0,1,6,1220,217086
0,1,7,1220,217334
0,1,8,1220,219794
0,1,9,1220,248692
0,1,10,1220,167796
0,1,11,1220,251966
0,1,12,1220,253628
0,1,13,1220,251764
0,1,14,1219,251594
0,1,15,1219,250130
0,1,16,1220,251608
0,1,17,1220,157924
0,1,18,1220,157334
0,1,19,1220,167882
0,1,20,1220,157216
0,1,21,1220,157582
0,1,22,1220,157692
0,1,23,1220,157452
0,1,24,1220,157424
0,1,25,1220,159552
0,1,26,1220,251108
0,1,27,1219,250180
0,1,28,1220,157352
0,1,29,1220,251126
0,1,30,1220,163140
0,1,31,1220,159268
0,1,32,1220,157156
0,1,33,1220,157230
0,1,34,1220,158570
0,1,35,1220,157916
0,1,36,1220,157574
0,1,37,1220,157202
0,1,38,1220,157302
0,1,39,1220,157700
0,1,40,1220,157482
0,1,41,1220,157640
0,1,42,1220,157272
0,1,43,1220,157270
0,1,44,1220,157322
0,1,45,1220,157616
0,1,46,1220,251110
0,1,47,1220,157062
0,1,48,1220,157292
0,1,49,1220,157440
0,1,50,1220,157444
0,1,51,1220,157370
0,1,52,1220,159760
0,1,53,1219,157452
0,1,54,1220,162614
0,1,55,1220,157492
0,1,56,1220,157000
0,1,57,1220,156944
0,1,58,1220,157938
0,1,59,1220,157536
0,1,60,1220,157190
0,1,61,1220,157312
0,1,62,1220,272664
0,1,63,1220,255958
0,2,0,1203,247122
0,2,1,1203,248598
0,2,2,1203,247796
0,2,3,1203,219742
0,2,4,1203,219974
0,2,5,1203,217288
0,2,6,1203,216778
0,2,7,1203,216922
0,2,8,1203,219080
0,2,9,1203,166146
0,2,10,1203,165766
0,2,11,1203,155504
0,2,12,1203,155732
0,2,13,1203,155078
0,2,14,1203,158340
0,2,15,1203,154988
0,2,16,1203,247974
0,2,17,1203,244814
0,2,18,1203,248354
0,2,19,1202,248702
0,2,20,1203,248446
0,2,21,1203,248604
0,2,22,1203,249188
0,2,23,1203,247548
0,2,24,1203,248398
0,2,25,1203,181530
0,2,26,1203,247752
0,2,27,1203,247074
0,2,28,1203,155038
0,2,29,1203,247728
0,2,30,1203,155434
0,2,31,1203,155544
0,2,32,1203,155558
0,2,33,1202,155546
0,2,34,1203,155944
0,2,35,1203,156470
0,2,36,1203,155508
0,2,37,1203,155864
0,2,38,1203,154998
0,2,39,1203,156134
0,2,40,1203,154828
0,2,41,1203,155244
0,2,42,1203,155064
0,2,43,1203,156054
0,2,44,1203,155170
0,2,45,1203,155276
0,2,46,1203,248084
0,2,47,1203,155166
0,2,48,1203,155866
